match_date,home_team,away_team,home_goals,away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result,referee,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_fouls,away_fouls,home_corners,away_corners,home_yellows,away_yellows,home_reds,away_reds,league,season,goal_diff,total_goals,home_win,draw,away_win,match_year,match_month
1993-08-29,Atalanta,Cagliari,5,2,H,,,,,,,,,,,,,,,,,serie-a,9394,3,7,1,0,0,1993,8
1993-08-29,Genoa,Roma,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,8
1993-08-29,Inter,Reggiana,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,8
1993-08-29,Juventus,Cremonese,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,8
1993-08-29,Lazio,Foggia,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,8
1993-08-29,Lecce,Milan,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1993,8
1993-08-29,Napoli,Sampdoria,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,8
1993-08-29,Piacenza,Torino,0,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-3,3,0,0,1,1993,8
1993-08-29,Udinese,Parma,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1993,8
1993-09-05,Cagliari,Udinese,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,9
1993-09-05,Cremonese,Napoli,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,9
1993-09-05,Foggia,Inter,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,9
1993-09-05,Milan,Genoa,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,9
1993-09-05,Parma,Lecce,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,9
1993-09-05,Reggiana,Lazio,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-05,Roma,Juventus,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-05,Sampdoria,Piacenza,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-05,Torino,Atalanta,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-08,Atalanta,Reggiana,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-08,Genoa,Cagliari,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,9
1993-09-08,Inter,Cremonese,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-08,Juventus,Sampdoria,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1993,9
1993-09-08,Lazio,Parma,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-08,Lecce,Foggia,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1993,9
1993-09-08,Napoli,Torino,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-08,Piacenza,Milan,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-08,Udinese,Roma,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-12,Cagliari,Inter,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,9
1993-09-12,Cremonese,Lazio,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,9
1993-09-12,Foggia,Juventus,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,9
1993-09-12,Milan,Atalanta,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,9
1993-09-12,Parma,Genoa,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-12,Reggiana,Piacenza,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,9
1993-09-12,Roma,Napoli,2,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,5,0,0,1,1993,9
1993-09-12,Sampdoria,Lecce,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-12,Torino,Udinese,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,9
1993-09-19,Atalanta,Cremonese,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-19,Foggia,Cagliari,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1993,9
1993-09-19,Genoa,Napoli,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-19,Juventus,Reggiana,4,0,H,,,,,,,,,,,,,,,,,serie-a,9394,4,4,1,0,0,1993,9
1993-09-19,Lazio,Inter,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-19,Milan,Roma,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,9
1993-09-19,Parma,Torino,3,0,H,,,,,,,,,,,,,,,,,serie-a,9394,3,3,1,0,0,1993,9
1993-09-19,Piacenza,Lecce,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-19,Udinese,Sampdoria,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1993,9
1993-09-26,Cagliari,Lazio,4,1,H,,,,,,,,,,,,,,,,,serie-a,9394,3,5,1,0,0,1993,9
1993-09-26,Cremonese,Milan,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1993,9
1993-09-26,Inter,Piacenza,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,9
1993-09-26,Lecce,Juventus,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,9
1993-09-26,Napoli,Udinese,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-26,Reggiana,Foggia,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,9
1993-09-26,Roma,Atalanta,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,9
1993-09-26,Sampdoria,Parma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,9
1993-09-26,Torino,Genoa,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,9
1993-10-03,Atalanta,Sampdoria,1,4,A,,,,,,,,,,,,,,,,,serie-a,9394,-3,5,0,0,1,1993,10
1993-10-03,Genoa,Reggiana,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-03,Juventus,Torino,3,2,H,,,,,,,,,,,,,,,,,serie-a,9394,1,5,1,0,0,1993,10
1993-10-03,Milan,Lazio,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-03,Napoli,Inter,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-03,Parma,Foggia,3,0,H,,,,,,,,,,,,,,,,,serie-a,9394,3,3,1,0,0,1993,10
1993-10-03,Piacenza,Cagliari,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-03,Roma,Cremonese,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,10
1993-10-03,Udinese,Lecce,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,10
1993-10-17,Cagliari,Napoli,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,10
1993-10-17,Cremonese,Parma,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-17,Foggia,Milan,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-17,Inter,Torino,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-17,Juventus,Atalanta,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,10
1993-10-17,Lazio,Piacenza,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,10
1993-10-17,Lecce,Genoa,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-17,Reggiana,Udinese,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-17,Sampdoria,Roma,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1993,10
1993-10-24,Atalanta,Foggia,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-24,Cremonese,Cagliari,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1993,10
1993-10-24,Genoa,Piacenza,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1993,10
1993-10-24,Milan,Juventus,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-24,Napoli,Lecce,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1993,10
1993-10-24,Parma,Reggiana,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,10
1993-10-24,Roma,Lazio,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-24,Torino,Sampdoria,2,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,5,0,0,1,1993,10
1993-10-24,Udinese,Inter,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1993,10
1993-10-31,Cagliari,Torino,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,10
1993-10-31,Foggia,Cremonese,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-31,Inter,Parma,3,2,H,,,,,,,,,,,,,,,,,serie-a,9394,1,5,1,0,0,1993,10
1993-10-31,Juventus,Genoa,4,0,H,,,,,,,,,,,,,,,,,serie-a,9394,4,4,1,0,0,1993,10
1993-10-31,Lazio,Udinese,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,10
1993-10-31,Lecce,Atalanta,5,1,H,,,,,,,,,,,,,,,,,serie-a,9394,4,6,1,0,0,1993,10
1993-10-31,Piacenza,Napoli,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,10
1993-10-31,Reggiana,Roma,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,10
1993-10-31,Sampdoria,Milan,3,2,H,,,,,,,,,,,,,,,,,serie-a,9394,1,5,1,0,0,1993,10
1993-11-07,Atalanta,Piacenza,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,11
1993-11-07,Cremonese,Lecce,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,11
1993-11-07,Inter,Milan,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,11
1993-11-07,Napoli,Lazio,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,11
1993-11-07,Parma,Juventus,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,11
1993-11-07,Roma,Foggia,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,11
1993-11-07,Sampdoria,Cagliari,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,11
1993-11-07,Torino,Reggiana,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,11
1993-11-07,Udinese,Genoa,0,4,A,,,,,,,,,,,,,,,,,serie-a,9394,-4,4,0,0,1,1993,11
1993-11-21,Atalanta,Parma,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1993,11
1993-11-21,Foggia,Sampdoria,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,11
1993-11-21,Genoa,Inter,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,11
1993-11-21,Juventus,Cagliari,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,11
1993-11-21,Lazio,Torino,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,11
1993-11-21,Lecce,Roma,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1993,11
1993-11-21,Milan,Napoli,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,11
1993-11-21,Piacenza,Udinese,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,11
1993-11-21,Reggiana,Cremonese,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,11
1993-11-28,Cagliari,Roma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,11
1993-11-28,Inter,Juventus,2,2,D,,,,,,,,,,,,,,,,,serie-a,9394,0,4,0,1,0,1993,11
1993-11-28,Lazio,Genoa,4,0,H,,,,,,,,,,,,,,,,,serie-a,9394,4,4,1,0,0,1993,11
1993-11-28,Napoli,Reggiana,5,0,H,,,,,,,,,,,,,,,,,serie-a,9394,5,5,1,0,0,1993,11
1993-11-28,Parma,Milan,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,11
1993-11-28,Piacenza,Foggia,5,4,H,,,,,,,,,,,,,,,,,serie-a,9394,1,9,1,0,0,1993,11
1993-11-28,Sampdoria,Cremonese,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1993,11
1993-11-28,Torino,Lecce,3,0,H,,,,,,,,,,,,,,,,,serie-a,9394,3,3,1,0,0,1993,11
1993-11-28,Udinese,Atalanta,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,11
1993-12-05,Atalanta,Lazio,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,12
1993-12-05,Cremonese,Piacenza,4,0,H,,,,,,,,,,,,,,,,,serie-a,9394,4,4,1,0,0,1993,12
1993-12-05,Foggia,Udinese,2,2,D,,,,,,,,,,,,,,,,,serie-a,9394,0,4,0,1,0,1993,12
1993-12-05,Genoa,Sampdoria,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,12
1993-12-05,Juventus,Napoli,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,12
1993-12-05,Lecce,Inter,1,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,4,0,0,1,1993,12
1993-12-05,Milan,Torino,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,12
1993-12-05,Reggiana,Cagliari,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1993,12
1993-12-05,Roma,Parma,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,12
1993-12-12,Cagliari,Parma,0,4,A,,,,,,,,,,,,,,,,,serie-a,9394,-4,4,0,0,1,1993,12
1993-12-12,Genoa,Foggia,1,4,A,,,,,,,,,,,,,,,,,serie-a,9394,-3,5,0,0,1,1993,12
1993-12-12,Inter,Sampdoria,3,0,H,,,,,,,,,,,,,,,,,serie-a,9394,3,3,1,0,0,1993,12
1993-12-12,Lazio,Juventus,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1993,12
1993-12-12,Napoli,Atalanta,4,0,H,,,,,,,,,,,,,,,,,serie-a,9394,4,4,1,0,0,1993,12
1993-12-12,Piacenza,Roma,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,12
1993-12-12,Reggiana,Lecce,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,12
1993-12-12,Torino,Cremonese,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,12
1993-12-12,Udinese,Milan,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1993,12
1993-12-19,Atalanta,Genoa,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,12
1993-12-19,Cremonese,Udinese,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,12
1993-12-19,Foggia,Torino,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,12
1993-12-19,Juventus,Piacenza,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1993,12
1993-12-19,Lecce,Lazio,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1993,12
1993-12-19,Milan,Cagliari,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1993,12
1993-12-19,Parma,Napoli,1,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,4,0,0,1,1993,12
1993-12-19,Roma,Inter,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1993,12
1993-12-19,Sampdoria,Reggiana,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1993,12
1994-01-02,Cagliari,Lecce,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,1
1994-01-02,Genoa,Cremonese,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1994,1
1994-01-02,Inter,Atalanta,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1994,1
1994-01-02,Lazio,Sampdoria,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-02,Napoli,Foggia,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-02,Piacenza,Parma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-02,Reggiana,Milan,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1994,1
1994-01-02,Torino,Roma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-02,Udinese,Juventus,0,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-3,3,0,0,1,1994,1
1994-01-09,Cagliari,Atalanta,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-09,Cremonese,Juventus,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-09,Foggia,Lazio,4,1,H,,,,,,,,,,,,,,,,,serie-a,9394,3,5,1,0,0,1994,1
1994-01-09,Milan,Lecce,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1994,1
1994-01-09,Parma,Udinese,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1994,1
1994-01-09,Reggiana,Inter,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1994,1
1994-01-09,Roma,Genoa,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-09,Sampdoria,Napoli,4,1,H,,,,,,,,,,,,,,,,,serie-a,9394,3,5,1,0,0,1994,1
1994-01-09,Torino,Piacenza,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1994,1
1994-01-16,Atalanta,Torino,2,2,D,,,,,,,,,,,,,,,,,serie-a,9394,0,4,0,1,0,1994,1
1994-01-16,Genoa,Milan,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1994,1
1994-01-16,Inter,Foggia,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1994,1
1994-01-16,Juventus,Roma,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1994,1
1994-01-16,Lazio,Reggiana,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,1
1994-01-16,Lecce,Parma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-16,Napoli,Cremonese,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,1
1994-01-16,Piacenza,Sampdoria,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,1
1994-01-16,Udinese,Cagliari,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-23,Cagliari,Genoa,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1994,1
1994-01-23,Cremonese,Inter,1,4,A,,,,,,,,,,,,,,,,,serie-a,9394,-3,5,0,0,1,1994,1
1994-01-23,Foggia,Lecce,5,0,H,,,,,,,,,,,,,,,,,serie-a,9394,5,5,1,0,0,1994,1
1994-01-23,Milan,Piacenza,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,1
1994-01-23,Parma,Lazio,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,1
1994-01-23,Reggiana,Atalanta,3,0,H,,,,,,,,,,,,,,,,,serie-a,9394,3,3,1,0,0,1994,1
1994-01-23,Roma,Udinese,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1994,1
1994-01-23,Sampdoria,Juventus,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-23,Torino,Napoli,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-30,Atalanta,Milan,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1994,1
1994-01-30,Genoa,Parma,0,4,A,,,,,,,,,,,,,,,,,serie-a,9394,-4,4,0,0,1,1994,1
1994-01-30,Inter,Cagliari,3,3,D,,,,,,,,,,,,,,,,,serie-a,9394,0,6,0,1,0,1994,1
1994-01-30,Juventus,Foggia,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,1
1994-01-30,Lazio,Cremonese,4,2,H,,,,,,,,,,,,,,,,,serie-a,9394,2,6,1,0,0,1994,1
1994-01-30,Lecce,Sampdoria,0,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-3,3,0,0,1,1994,1
1994-01-30,Napoli,Roma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-01-30,Piacenza,Reggiana,3,2,H,,,,,,,,,,,,,,,,,serie-a,9394,1,5,1,0,0,1994,1
1994-01-30,Udinese,Torino,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,1
1994-02-06,Cagliari,Foggia,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-06,Cremonese,Atalanta,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,2
1994-02-06,Inter,Lazio,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1994,2
1994-02-06,Lecce,Piacenza,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-06,Napoli,Genoa,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-06,Reggiana,Juventus,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1994,2
1994-02-06,Roma,Milan,0,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,2,0,0,1,1994,2
1994-02-06,Sampdoria,Udinese,6,2,H,,,,,,,,,,,,,,,,,serie-a,9394,4,8,1,0,0,1994,2
1994-02-06,Torino,Parma,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1994,2
1994-02-13,Atalanta,Roma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-13,Foggia,Reggiana,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1994,2
1994-02-13,Genoa,Torino,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-13,Juventus,Lecce,5,1,H,,,,,,,,,,,,,,,,,serie-a,9394,4,6,1,0,0,1994,2
1994-02-13,Lazio,Cagliari,4,0,H,,,,,,,,,,,,,,,,,serie-a,9394,4,4,1,0,0,1994,2
1994-02-13,Milan,Cremonese,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1994,2
1994-02-13,Parma,Sampdoria,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,2
1994-02-13,Piacenza,Inter,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,2
1994-02-13,Udinese,Napoli,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1994,2
1994-02-20,Cagliari,Piacenza,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,2
1994-02-20,Cremonese,Roma,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-20,Foggia,Parma,3,2,H,,,,,,,,,,,,,,,,,serie-a,9394,1,5,1,0,0,1994,2
1994-02-20,Inter,Napoli,0,0,D,,,,,,,,,,,,,,,,,serie-a,9394,0,0,0,1,0,1994,2
1994-02-20,Lazio,Milan,0,1,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,1,0,0,1,1994,2
1994-02-20,Lecce,Udinese,1,0,H,,,,,,,,,,,,,,,,,serie-a,9394,1,1,1,0,0,1994,2
1994-02-20,Reggiana,Genoa,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-20,Sampdoria,Atalanta,3,1,H,,,,,,,,,,,,,,,,,serie-a,9394,2,4,1,0,0,1994,2
1994-02-20,Torino,Juventus,1,1,D,,,,,,,,,,,,,,,,,serie-a,9394,0,2,0,1,0,1994,2
1994-02-27,Atalanta,Juventus,1,3,A,,,,,,,,,,,,,,,,,serie-a,9394,-2,4,0,0,1,1994,2
1994-02-27,Genoa,Lecce,2,0,H,,,,,,,,,,,,,,,,,serie-a,9394,2,2,1,0,0,1994,2
1994-02-27,Milan,Foggia,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,2
1994-02-27,Napoli,Cagliari,1,2,A,,,,,,,,,,,,,,,,,serie-a,9394,-1,3,0,0,1,1994,2
1994-02-27,Parma,Cremonese,2,1,H,,,,,,,,,,,,,,,,,serie-a,9394,1,3,1,0,0,1994,2
